Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac820b0>,Abramowitz et al. (2023),Differentiating oil palm plantations from natural forest to improve land cover mapping in Ghana,Oil palm plantation mapping,Satellite,,1,10.1016/j.rsase.2023.100968,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac82050>,Ghana,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac81ff0>,Non-SEA → review for removal,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac82920>,Afuye et al. (2024),Global trend assessment of land use and land cover changes: A systematic approach to future research development and planning,LULC change research trend assessment,NA (Systematic Review),,,10.1016/j.jksus.2024.103262,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac82980>,Global,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac829e0>,Background (keep),Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac82fb0>,Agarwal & Lambin (2024),"Interventions to control forest loss in a swidden cultivation landscape in Nan Province, Thailand",Forest loss in swidden cultivation landscape,Satellite,,0,10.1007/s10113-024-02286-5,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac83010>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac83070>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac80520>,Agduma & Cao (2023),"Species richness, extent and potential threats to mangroves of Sarangani Bay Protected Seascape, Philippines",Mangrove species richness and threats assessment,NA (Spatial analysis),,0,10.3897/BDJ.11.e100050,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac804c0>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac80460>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac82440>,Ahmad et al. (2025),Land use and land cover dynamics in the Irrawaddy Delta: Remote sensing analysis and projections for the future,LULC dynamics and future projections,Satellite,,0,10.1016/j.rsase.2025.101607,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac836a0>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbac83700>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3d780>,Ahmad et al. (2024),Role of Smart Agriculture Techniques in Food Security: A Systematic Review,Smart agriculture techniques review,"Satellite, Drone, IoT, Sensors",others,1,10.1111/jac.12758,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3d5a0>,Global (Multiple),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3caf0>,Background (keep),2.1 Remote Sensing; 2.2 IoT; Intro/Background,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3c280>,Ahmadi et al. (2023),CONVOLUTIONAL SVM NETWORKS FOR DETECTION OF GANODERMA BONINENSE AT EARLY STAGE IN OIL PALM USING UAV AND MULTISPECTRAL PLEIADES IMAGES,Ganoderma disease detection in oil palm,"Drone, Satellite",ms,1,10.5194/isprs-annals-X-4-W1-2022-25-2023,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3ead0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3f040>,SEA,"2.1 Remote Sensing, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3cd90>,Albertazzi & Bini (2025),Tropical deforestation and the state: Settlement schemes in the Mau forest of Kenya (1991-2001),Deforestation and settlement scheme analysis,Satellite,,0,10.1016/j.wdp.2025.100675,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3e0e0>,Kenya,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbbc3e080>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f6b60>,Alaboz et al. (2023),Soil quality assessment based on machine learning approach for cultivated lands in semi-humid environmental condition part of Black Sea region,Soil quality assessment,NA (GIS),,0,10.1080/03650340.2023.2248002,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f6b00>,Turkey,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f76d0>,Non-SEA → review for removal,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f7250>,Alejo et al. (2024),"Spacio-Temporal Estimation of Soil Erosion by Revised Universal Soil Loss Equation Model in Pantabangan-Carranglan Watershed, Philippines",Soil erosion estimation,"Satellite, GIS",,0,10.12911/22998993/191029,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f71f0>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbb9f7040>,SEA,2.1 Remote Sensing,Yes
